repoName,branchName,url-version-component,slug,isStableBranch
docs-spark-connector,v10.0,current,current,True
docs-spark-connector,v10.0,v10.0,current,True
docs-spark-connector,v10.0,v10.0,current,True
docs-spark-connector,v3.0,v3.0,,True
docs-spark-connector,v3.0,v3.0,,True
docs-spark-connector,v2.4,v2.4,,False
docs-spark-connector,v2.3,v2.3,,False
docs-spark-connector,v2.2,v2.2,,False
docs-spark-connector,v2.1,v2.1,,False
docs-ecosystem,master,,,
docs-landing,master,,,
docs-charts,master,,,
cloud-docs-osb,master,,,
docs-bi-connector,master,current,current,True
docs-bi-connector,master,v2.14,current,True
docs-bi-connector,master,master,current,True
docs-bi-connector,v2.13,v2.13,,False
docs-bi-connector,v2.12,v2.12,,False
docs-bi-connector,v2.11,v2.11,,False
docs-bi-connector,v2.10,v2.10,,False
docs-datalake,master,,,
docs-node,master,upcoming,upcoming,False
docs-node,master,master,upcoming,False
docs-node,v4.11,current,current,True
docs-node,v4.11,v4.11,current,True
docs-node,v4.10,v4.10,v4.10,False
docs-node,v4.9,v4.9,v4.9,True
docs-node,v4.8,v4.8,v4.8,True
docs-node,v4.7,v4.7,v4.7,True
docs-node,v4.6,v4.6,v4.6,False
docs-node,v4.5,v4.5,v4.5,False
docs-node,v4.4,v4.4,,True
docs-node,v4.3,v4.3,,False
docs-node,v4.2,v4.2,,False
docs-node,v4.1,v4.1,,False
docs-node,v4.0,v4.0,,False
docs-node,v3.7,v3.7,,False
docs-node,v3.6,v3.6,,False
docs-mongodb-shell,master,,,
cloudgov-docs,master,,,
docs-realm,master,,,
docs,v4.4,v4.4,,False
docs,v5.0,v5.0,v5.0,False
docs,v6.0,current,v6.0,True
docs,v6.0,stable,v6.0,True
docs,v6.0,manual,v6.0,True
docs,v6.0,v6.0,v6.0,True
docs,master,v6.1,rapid,False
docs,master,rapid,rapid,False
docs,master,upcoming,rapid,False
docs-mongodb-vscode,master,,,
docs-compass,master,current,current,True
docs-compass,master,master,current,True
docs-compass,beta,upcoming,upcoming,False
docs-compass,beta,beta,upcoming,False
docs-mongocli,master,upcoming,upcoming,False
docs-mongocli,master,v1.28,upcoming,False
docs-mongocli,master,master,upcoming,False
docs-mongocli,v1.27,stable,stable,True
docs-mongocli,v1.27,1.27,stable,True
docs-mongocli,v1.27,1.27.0,stable,True
docs-mongocli,v1.27,v1.27,stable,True
docs-mongocli,v1.22,,,False
docs-mongocli,v1.22,v1.22,,False
docs-mongocli,v1.21,,,False
docs-mongocli,v1.21,v1.21,,False
docs-mongocli,v1.20,,,False
docs-mongocli,v1.20,v1.20,,False
docs-mongocli,v1.19,,,False
docs-mongocli,v1.19,v1.19,,False
cloud-docs,master,,,
docs-commandline-tools,master,,,
docs-java,master,upcoming,upcoming,False
docs-java,v4.7,current,current,True
docs-java,v4.7,v4.7,current,True
docs-java,v4.6,v4.6,v4.6,True
docs-java,v4.5,v4.5,v4.5,False
docs-java,v4.4,v4.4,,False
docs-java,v4.3,v4.3,,False
docs-golang,master,upcoming,upcoming,False
docs-golang,master,master,upcoming,False
docs-golang,v1.10,current,current,True
docs-golang,v1.10,v1.10,current,True
docs-golang,v1.9,v1.9,,True
docs-golang,v1.8,v1.8,,True
docs-mongodb-internal,v5.0,,,
docs-mongodb-internal,v5.0,stable,stable,False
docs-mongodb-internal,v5.0,v5.0,stable,False
docs-visual-studio-extension,master,upcoming,upcoming,False
docs-visual-studio-extension,master,master,upcoming,False
docs-visual-studio-extension,v1.0,current,current,True
docs-visual-studio-extension,v1.0,v1.0,current,True
docs-tutorials,master,,,
docs-csfle-merge,master,,,
docs-kafka-connector,master,upcoming,upcoming,False
docs-kafka-connector,master,master,upcoming,False
docs-kafka-connector,v1.8,current,current,True
docs-kafka-connector,v1.8,v1.8,current,True
docs-kafka-connector,v1.7,v1.7,v1.7,True
docs-kafka-connector,v1.6,v1.6,,False
docs-kafka-connector,v1.5,v1.5,,False
docs-kafka-connector,v1.4,v1.4,,False
docs-kafka-connector,v1.3,v1.3,,False
docs-kafka-connector,v1.2,v1.2,,False
docs-kafka-connector,v1.1,v1.1,,False
docs-kafka-connector,v1.0,v1.0,,False
docs-atlas-cli,master,upcoming,upcoming,False
docs-atlas-cli,master,v1.3,upcoming,False
docs-atlas-cli,master,master,upcoming,False
docs-atlas-cli,v1.2,stable,stable,True
docs-atlas-cli,v1.2,v1.2,stable,True
docs-atlas-cli,v1.2,v1.2.1,stable,True
docs-atlas-cli,v1.2,v1.2.0,stable,True
docs-atlas-cli,v1.2,v1.2,stable,True
docs-atlas-cli,v1.1,v1.1,,False
docs-atlas-cli,v1.1,v1.1.0,,False
docs-atlas-cli,v1.1,v1.1.2,,False
docs-atlas-cli,v1.1,v1.1.3,,False
docs-atlas-cli,v1.1,v1.1.4,,False
docs-atlas-cli,v1.1,v1.1.5,,False
docs-atlas-cli,v1.1,v1.1.6,,False
docs-atlas-cli,v1.1,v1.1.7,,False
docs-atlas-cli,v1.1,v1.1,,False
docs-atlas-cli,v1.0,,,False
docs-atlas-cli,v1.0,v1.0,,False
docs-cluster-to-cluster-sync,master,current,current,False
docs-cluster-to-cluster-sync,v0.9,v0.9,v0.9,False
docs-app-services,master,,,
docs-404,master,,,
docs-meta,master,,,
docs-csharp,master,,,
docs-csharp,master,upcoming,upcoming,True
docs-mongodb-internal-base,master,,,
